time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446200000	16.3056	4.38191	5.12473	0.704547	0.378774	lidar	1.39069e-309	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5166	4.54763	5.18254	0.716569	0.367535	radar	2.23667e-314	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6939	4.70904	5.14781	0.734397	0.366735	lidar	1.39069e-309	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8466	4.88713	4.9026	0.774297	0.408153	radar	2.23667e-314	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0063	5.11541	4.96274	0.820689	0.441723	lidar	1.39069e-309	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1789	5.2753	4.93336	0.831895	0.42781	radar	2.23667e-314	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3345	5.45411	4.91615	0.853407	0.427899	lidar	1.39069e-309	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4938	5.60941	4.84199	0.864031	0.415952	radar	2.23667e-314	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6839	5.7266	4.77492	0.848203	0.369129	lidar	1.39069e-309	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.832	5.90931	4.70654	0.873584	0.382638	radar	2.23667e-314	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.002	6.10903	4.75831	0.89325	0.383709	lidar	1.39069e-309	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1555	6.3128	4.82222	0.915034	0.384875	radar	2.23667e-314	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2742	6.56498	4.89282	0.964831	0.423943	lidar	1.39069e-309	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4081	6.77497	4.88628	0.991076	0.432098	radar	2.23667e-314	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5555	6.90413	4.77033	0.979937	0.390272	lidar	1.39069e-309	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7073	7.11188	4.88426	0.989511	0.370614	radar	2.23667e-314	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9064	7.24826	4.82466	0.961432	0.312096	lidar	1.39069e-309	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9982	7.4348	4.63702	0.996385	0.346753	radar	2.23667e-314	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0833	7.72044	4.76117	1.05783	0.402828	lidar	1.39069e-309	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2073	7.92306	4.78937	1.07005	0.389523	radar	2.23667e-314	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2839	8.14679	4.78395	1.1063	0.410047	lidar	1.39069e-309	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3846	8.35605	4.82572	1.12151	0.396689	radar	2.23667e-314	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
